nombre,precios,stock,enlaces
NVIDIA GeForce GTX1660Ti O6GB TUF EVO,$ 649.990,19,https://www.pcfactory.cl/producto/43992-asus-video-nvidia-geforce-gtx1660ti-o6gb-tuf-evo
AMD RX 6600XT O8GB Dual,$ 679.990,22,https://www.pcfactory.cl/producto/43643-asus-video-amd-rx-6600xt-o8gb-dual
AMD RX 6600XT O8GB Rog Strix Gaming,$ 699.990,12,https://www.pcfactory.cl/producto/43994-asus-video-amd-rx-6600xt-o8gb-rog-strix-gaming
NVIDIA GeForce RTX3060 12GB 1-Click OC,$ 799.990,25,https://www.pcfactory.cl/producto/41325-galax-video-nvidia-geforce-rtx3060-12gb-1-click-oc
NVIDIA GeForce RTX3060 12GB Dual ,$ 799.990,21,https://www.pcfactory.cl/producto/43479-palit-video-nvidia-geforce-rtx3060-12gb-dual
NVIDIA GeForce RTX3060 12GB Ventus 2X OC,$ 809.990,1,https://www.pcfactory.cl/producto/41214-msi-video-nvidia-geforce-rtx3060-12gb-ventus-2x-oc
NVIDIA GeForce RTX3060 12GB Eagle OC,$ 839.990,1,https://www.pcfactory.cl/producto/42654-gigabyte-video-nvidia-geforce-rtx3060-12gb-eagle-oc
AMD RX 6700XT 12GB Mech 2X OC,$ 869.990,1,https://www.pcfactory.cl/producto/41138-msi-video-amd-rx-6700xt-12gb-mech-2x-oc
NVIDIA GeForce RTX3060 12GB Vision OC,$ 889.990,1,https://www.pcfactory.cl/producto/42656-gigabyte-video-nvidia-geforce-rtx3060-12gb-vision-oc
NVIDIA GeForce RTX3060Ti Dual OC V1 8GB,$ 919.990,19,https://www.pcfactory.cl/producto/43478-palit-video-nvidia-geforce-rtx3060ti-dual-oc-v1-8gb
NVIDIA GeForce RTX3060Ti 8GB 1-Click OC LHR,$ 919.990,4,https://www.pcfactory.cl/producto/43332-galax-video-nvidia-geforce-rtx3060ti-8gb-1-click-oc-lhr
NVIDIA GeForce RTX3060Ti 8GB Dual V1 LHR,$ 949.990,+50,https://www.pcfactory.cl/producto/44257-palit-video-nvidia-geforce-rtx3060ti-8gb-dual-v1-lhr
NVIDIA GeForce RTX3070 8GB 1-Click OC LHR,$ 979.990,+30,https://www.pcfactory.cl/producto/44368-galax-video-nvidia-geforce-rtx3070-8gb-1-click-oc-lhr
NVIDIA GeForce RTX3060Ti 8GB EAGLE OC,$ 999.990,6,https://www.pcfactory.cl/producto/39999-gigabyte-video-nvidia-geforce-rtx3060ti-8gb-eagle-oc
AMD Radeon RX 6700XT ROG Strix Gaming O12G,$ 999.990,8,https://www.pcfactory.cl/producto/41330-asus-video-amd-radeon-rx-6700xt-rog-strix-gaming-o12g
NVIDIA GeForce RTX3060Ti 8GB Gaming PRO OC,$ 1.049.990,16,https://www.pcfactory.cl/producto/40002-gigabyte-video-nvidia-geforce-rtx3060ti-8gb-gaming-pro-oc
NVIDIA GeForce RTX3070 O8GB V2 TUF Gaming LHR,$ 1.099.990,2,https://www.pcfactory.cl/producto/43634-asus-video-nvidia-geforce-rtx3070-o8gb-v2-tuf-gaming-lhr
NVIDIA GeForce RTX3070 8GB Gaming Pro,$ 1.099.990,+30,https://www.pcfactory.cl/producto/43749-palit-video-nvidia-geforce-rtx3070-8gb-gaming-pro
NVIDIA GeForce RTX3070 8GB JetStream V1 LHR,$ 1.099.990,19,https://www.pcfactory.cl/producto/44258-palit-video-nvidia-geforce-rtx3070-8gb-jetstream-v1-lhr
AMD Radeon RX 6700XT Dual O12G,$ 1.099.990,29,https://www.pcfactory.cl/producto/44918-asus-video-amd-radeon-rx-6700xt-dual-o12g
NVIDIA GeForce RTX3070 O8GB Dual V2,$ 1.119.990,5,https://www.pcfactory.cl/producto/43635-asus-video-nvidia-geforce-rtx3070-o8gb-dual-v2
NVIDIA GeForce RTX3070Ti 8GB Eagle,$ 1.129.990,1,https://www.pcfactory.cl/producto/42665-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-eagle
NVIDIA GeForce RTX3060Ti O8GB Rog Strix V2 Gaming,$ 1.149.990,24,https://www.pcfactory.cl/producto/43636-asus-video-nvidia-geforce-rtx3060ti-o8gb-rog-strix-v2-gaming
NVIDIA GeForce RTX3070 Ventus 3X 8GB OC LHR,$ 1.159.990,7,https://www.pcfactory.cl/producto/44527-msi-video-nvidia-geforce-rtx3070-ventus-3x-8gb-oc-lhr
NVIDIA GeForce RTX3070 O8GB KO V2 LHR,$ 1.159.990,27,https://www.pcfactory.cl/producto/44917-asus-video-nvidia-geforce-rtx3070-o8gb-ko-v2-lhr
NVIDIA GeForce RTX3070Ti 8GB Eagle OC,$ 1.199.990,5,https://www.pcfactory.cl/producto/42663-gigabyte-video-nvidia-geforce-rtx3070ti-8gb-eagle-oc
NVIDIA GeForce RTX3070Ti Gaming Pro 8GB,$ 1.199.990,19,https://www.pcfactory.cl/producto/43748-palit-video-nvidia-geforce-rtx3070ti-gaming-pro-8gb
NVIDIA GeForce RTX3070Ti 8GB GameRock LHR,$ 1.199.990,+30,https://www.pcfactory.cl/producto/44259-palit-video-nvidia-geforce-rtx3070ti-8gb-gamerock-lhr
NVIDIA GeForce RTX3070 8GB LHR Gaming Z Trio,$ 1.279.990,3,https://www.pcfactory.cl/producto/42448-msi-video-nvidia-geforce-rtx3070-8gb-lhr-gaming-z-trio
NVIDIA GeForce RTX3070Ti 8GB FTW3 Ultra,$ 1.289.990,1,https://www.pcfactory.cl/producto/42811-evga-video-nvidia-geforce-rtx3070ti-8gb-ftw3-ultra
NVIDIA GeForce RTX3070Ti 8GB Ventus 3X OC,$ 1.299.990,18,https://www.pcfactory.cl/producto/42240-msi-video-nvidia-geforce-rtx3070ti-8gb-ventus-3x-oc
NVIDIA GeForce RTX3070Ti 8GB Rog Strix,$ 1.299.990,1,https://www.pcfactory.cl/producto/42996-asus-video-nvidia-geforce-rtx3070ti-8gb-rog-strix
