nombre_p,precios_p,stock_p
"Video NVIDIA GeForce RTX3060Ti 8GB EAGLE OC,Video NVIDIA GeForce RTX3060Ti 8GB Gaming X LHR,Video NVIDIA GeForce RTX3060Ti 8GB Gaming PRO OC,Video NVIDIA GeForce RTX3070 8GB 1-Click OC LHR,Video NVIDIA GeForce RTX3070 O8GB V2 TUF Gaming LHR,Video NVIDIA GeForce RTX3070 8GB Gaming Pro,Video NVIDIA GeForce RTX3070 O8GB Dual V2,Video NVIDIA GeForce RTX3070 8GB JetStream V1 LHR,Video NVIDIA GeForce RTX3070Ti 8GB Eagle,Video NVIDIA GeForce RTX3060Ti O8GB Rog Strix V2 Gaming,Video NVIDIA GeForce RTX3070 Ventus 3X 8GB OC LHR,Video AMD Radeon RX 6700XT ROG Strix Gaming O12G,Video NVIDIA GeForce RTX3070Ti 8GB Eagle OC,Video NVIDIA GeForce RTX3070 O8GB Rog Strix V2,Video NVIDIA GeForce RTX3070Ti Gaming Pro 8GB,Video NVIDIA GeForce RTX3070Ti 8GB GameRock LHR,Video NVIDIA GeForce RTX3070 8GB LHR Gaming Z Trio,Video NVIDIA GeForce RTX3070Ti O8GB TUF Gaming,Video NVIDIA GeForce RTX3070Ti 8GB FTW3 Ultra,Video NVIDIA GeForce RTX3070Ti 8GB Rog Strix,Video NVIDIA GeForce RTX3070Ti 8GB Vision OC,Video NVIDIA GeForce RTX3070Ti 8GB Gaming X Trio,Video NVIDIA GeForce RTX3070Ti O8GB Rog Strix Gaming,Video AMD Radeon RX 6900XT O16G TUF Gaming,Video NVIDIA GeForce RTX3080 10GB GameRock,Video NVIDIA GeForce RTX3080 O10GB Rog Strix V2,Video NVIDIA GeForce RTX3080 10GB Eagle Gaming,Video NVIDIA GeForce RTX3080 10GB Master V2.0,Video NVIDIA GeForce RTX3080 10GB Gaming Z Trio LHR,Video NVIDIA GeForce RTX3080Ti Gaming OC 12G,Video NVIDIA GeForce RTX3080Ti 12GB GameRock,Video NVIDIA GeForce RTX3080Ti 12GB Gaming X Trio,Video NVIDIA GeForce RTX3080Ti Master 12G,Video NVIDIA GeForce RTX3080Ti TUF Gaming 12G,Video AMD RX 6900XT 16GB Aorus Xtreme Waterforce,Video NVIDIA GeForce RTX3080Ti TUF Gaming O12G,Video NVIDIA GeForce RTX3080Ti O12GB Rog Strix ,Video NVIDIA GeForce RTX3080Ti 12GB Rog Strix LC Gaming,Video AMD Radeon RX 6900XT 16GB Gaming Z Trio,Video AMD Radeon RX 6900XT Rog Strix LC Gaming 16GB","$ 999.990,$ 999.990,$ 1.049.990,$ 1.049.990,$ 1.099.990,$ 1.099.990,$ 1.119.990,$ 1.119.990,$ 1.129.990,$ 1.149.990,$ 1.159.990,$ 1.189.990,$ 1.199.990,$ 1.199.990,$ 1.199.990,$ 1.199.990,$ 1.279.990,$ 1.289.990,$ 1.289.990,$ 1.299.990,$ 1.329.990,$ 1.349.990,$ 1.429.990,$ 1.599.990,$ 1.629.990,$ 1.649.990,$ 1.699.990,$ 1.779.990,$ 1.799.990,$ 1.899.990,$ 1.899.990,$ 1.999.990,$ 1.999.990,$ 1.999.990,$ 1.999.990,$ 2.049.990,$ 2.349.990,$ 2.499.990,$ 2.599.990,$ 2.599.990","7 Unid.,3 Unid.,23 Unid.,+30 Unid.,9 Unid.,+30 Unid.,6 Unid.,20 Unid.,1 Unid.,18 Unid.,9 Unid.,8 Unid.,6 Unid.,1 Unid.,21 Unid.,+30 Unid.,5 Unid.,4 Unid.,1 Unid.,4 Unid.,2 Unid.,2 Unid.,5 Unid.,1 Unid.,12 Unid.,2 Unid.,+30 Unid.,1 Unid.,2 Unid.,8 Unid.,11 Unid.,2 Unid.,12 Unid.,7 Unid.,+50 Unid.,7 Unid.,2 Unid.,1 Unid.,10 Unid.,5 Unid."
"Extensor Cable Riser PEC 300 PCI-E x16 ,Video NVIDIA GeForce n210 1024MB DDR3,Video NVIDIA GeForce GT710 1GB GDDR5,Video NVIDIA GeForce GT710 SL-2GD5-CSM,Video NVIDIA GT730 2GB Low Profile,Video NVIDIA GT730K 2GB D3H/LPV1,Video NVIDIA GT730 2GB SL BRK,Video NVIDIA GT730K 4GB D3/OCV1,Video NVIDIA GeForce GT1030 2GB DDR4,Video AMD Radeon PRO WX2100 2GB,Video NVIDIA Quadro P400 2GB GDDR5 V2,Video NVIDIA Quadro T400 2GB GDDR6,Video NVIDIA Quadro P620 V2 2GB GDDR5,Video NVIDIA Quadro T600 4GB GDDR6,Video NVIDIA GeForce GTX1650 4GB StormX,Video NVIDIA GeForce GTX1050Ti 4GB PHOENIX Fan,Video NVIDIA GeForce GTX1050Ti 4GB D5,Video NVIDIA GeForce GTX1050Ti 4GB Low Profile OC,Video NVIDIA GeForce GTX1050Ti 4GT OC,Video NVIDA GeForce GTX1650 4GB Ex-Click OC,Video NVIDIA GeForce GTX1650 4GB GP,Video NVIDIA GeForce GTX1650 4GB D6 Ventus XS OC,Video NVIDIA GeForce GTX1650 4GB WindForce D6 v2.0,Video NVIDA GeForce GTX1650 4GB XS Ventus OC,Video NVIDIA GeForce GTX1660S 6GB Phoenix,Video NVIDIA GeForce GTX1660Ti 6GB StormX,NVIDIA Minería CMP 30HX d6 6G,Video NVIDIA GeForce GTX1660 6GB Dual,Video AMD Radeon RX 6600 8GB Pulse,Video NVIDIA GeForce GTX1660Ti 1-Click OC,Video NVIDIA GeForce GTX1660Ti 6GB Dual ,Video NVIDIA GeForce RTX2060 6GB 1-Click OC,Video NVIDIA GeForce GTX1660Ti 6GB OC,Video NVIDIA GeForce GTX1660Ti O6GB TUF EVO,Video AMD Radeon RX 6600 Dual 8GB,Video NVIDIA GeForce RTX3050 Dual 8GB ,Video AMD RX 6600XT O8GB Dual,Video NVIDIA GeForce RTX3060 12GB 1-Click OC,Video NVIDIA GeForce RTX3060 12GB Dual ,Video NVIDIA GeForce RTX3060 12GB Ventus 2X OC,Video NVIDIA GeForce RTX3060 12GB Eagle OC,Video NVIDIA GeForce RTX3060 12GB Vision OC,Video NVIDIA GeForce RTX3060Ti 8GB 1-Click OC LHR,Video NVIDIA GeForce RTX3060Ti Dual OC V1 8GB,Video AMD RX 6700XT 12GB Mech 2X OC,Video AMD RX 6700XT 12GB Gaming X,Video NVIDIA GeForce RTX3060Ti Ventus 3X 8GB OC LHR,Video NVIDIA GeForce RTX3060Ti 8GB Dual V1 LHR","$ 29.990,$ 49.990,$ 74.990,$ 84.990,$ 95.990,$ 99.990,$ 99.990,$ 149.990,$ 149.990,$ 169.990,$ 179.990,$ 189.990,$ 269.990,$ 269.990,$ 319.990,$ 329.990,$ 329.990,$ 329.990,$ 349.990,$ 379.990,$ 389.990,$ 399.990,$ 399.990,$ 399.990,$ 499.990,$ 599.990,$ 599.990,$ 609.990,$ 619.990,$ 629.990,$ 639.990,$ 649.990,$ 649.990,$ 649.990,$ 659.990,$ 719.990,$ 729.990,$ 799.990,$ 799.990,$ 809.990,$ 839.990,$ 889.990,$ 919.990,$ 919.990,$ 929.990,$ 949.990,$ 949.990,$ 949.990","17 Unid.,2 Unid.,12 Unid.,17 Unid.,+50 Unid.,+30 Unid.,+100 Unid.,1 Unid.,7 Unid.,+30 Unid.,4 Unid.,+30 Unid.,1 Unid.,21 Unid.,+100 Unid.,+50 Unid.,8 Unid.,3 Unid.,+100 Unid.,+50 Unid.,+50 Unid.,1 Unid.,+50 Unid.,+50 Unid.,1 Unid.,+30 Unid.,+100 Unid.,16 Unid.,1 Unid.,9 Unid.,+50 Unid.,2 Unid.,+30 Unid.,3 Unid.,20 Unid.,+30 Unid.,+30 Unid.,+30 Unid.,23 Unid.,1 Unid.,1 Unid.,2 Unid.,5 Unid.,21 Unid.,1 Unid.,1 Unid.,1 Unid.,+50 Unid."
